tid,lat,lon,day,hour,payment_type,pickup_dropoff,tid2,tid3
2420,40.725457,-74.004045,14,23,3,1,18,16
2420,40.758557,-73.983815,14,23,3,0,18,16
2430,40.721358,-73.98769699999998,11,22,3,1,18,16
2430,40.72514,-73.99218299999998,11,22,1,0,18,16
2440,40.743333,-73.984452,14,20,1,1,18,16
2440,40.70494,-74.007997,14,20,3,0,18,16
2450,40.747932,-73.988337,19,10,1,1,18,16
2450,40.753015,-73.97337799999998,19,10,3,0,18,16
2460,40.710948,-74.008148,13,21,3,1,18,16
2460,40.711055,-74.00895199999998,13,21,1,0,18,16
2470,40.626345,-73.965575,12,12,3,1,18,16
2470,40.598243,-73.968857,12,13,3,0,18,16
2480,40.774137,-73.87453999999998,19,10,1,1,18,16
2480,40.786475,-73.95053799999998,19,11,1,0,18,16
2490,40.761012,-73.96406,14,20,1,1,18,16
2490,40.727427,-73.98286799999998,14,21,3,0,18,16
2500,40.748852,-73.97481,19,10,3,1,18,16
2500,40.75775,-73.984333,19,10,3,0,18,16
2510,40.774112,-73.98870499999998,19,10,3,1,18,16
2510,40.735857,-73.99463199999998,19,11,3,0,18,16
2520,40.713175,-74.003977,13,10,1,1,18,16
2520,40.729795,-73.997133,13,10,3,0,18,16
2530,40.756195,-73.97056999999998,19,10,3,1,19,16
2530,40.767205,-73.98426499999998,19,10,3,0,19,16
2540,40.752158,-73.977198,19,10,3,1,19,17
2540,40.720083,-74.002425,19,10,3,0,19,17
2550,40.772037,-73.98272699999998,11,20,1,1,19,17
2550,40.733775,-73.995152,11,21,3,0,19,17
2560,40.524533,-73.78224299999998,19,10,3,1,19,17
2560,40.762182,-73.96652799999998,19,11,1,0,19,17
2570,40.731915,-74.000758,19,10,3,1,19,17
2570,40.761318,-73.96415,19,11,3,0,19,17
2580,40.715335,-74.009287,11,21,3,1,19,17
2580,40.719965,-73.987772,11,21,3,0,19,17
2590,40.785897,-73.96898199999998,13,9,3,1,19,17
2590,40.777727,-73.979292,13,9,1,0,19,17
2600,40.734002,-73.99085499999998,13,1,3,1,19,17
2600,40.802405,-73.964257,13,1,3,0,19,17
2610,40.761485,-73.998813,11,23,3,1,19,17
2610,40.741118,-74.005713,11,23,1,0,19,17
2620,40.731622,-73.98231,19,10,3,1,19,17
2620,40.739347,-73.97669299999998,19,11,3,0,19,17
2630,40.720247,-74.010153,12,2,1,1,19,17
2630,40.720412,-73.99696199999998,12,2,3,0,19,17
2640,40.769758,-73.86338499999998,12,10,3,1,19,17
2640,40.75161,-73.992243,12,11,1,0,19,17
2650,40.752512,-73.99715999999998,19,10,1,1,19,17
2650,40.760042,-73.996733,19,11,3,0,19,17
2660,40.755808,-73.98615499999998,12,15,3,1,19,17
2660,40.752588,-73.978232,12,15,3,0,20,18
2670,40.782712,-73.98231199999998,12,16,3,1,20,18
